epoch,train_loss,train_acc,val_loss,val_acc
0,1.3919813632965088,41.24671546546547,1.4867597818374634,33.90456989247312
1,1.0995041131973267,55.5297484984985,1.0923054218292236,53.9218509984639
2,0.9747503995895386,60.90465465465466,1.1139311790466309,54.65149769585254
3,0.8868584036827087,65.2050487987988,0.9668857455253601,60.47667050691244
4,0.8246926069259644,67.88663663663664,0.9444071054458618,62.66561059907834
5,0.7577657103538513,71.56296921921921,0.783345103263855,68.74039938556066
6,0.713525116443634,73.70026276276276,0.8031834363937378,65.99942396313364
7,0.6676225662231445,75.92201576576576,0.700343668460846,74.49116743471582
8,0.6334895491600037,76.7971096096096,0.6580262184143066,76.70890937019969
9,0.6011338829994202,78.20242117117117,0.6913505792617798,73.48070276497695
10,0.5714194774627686,79.5631569069069,0.5909247994422913,79.90831413210445
11,0.5512092113494873,80.17314189189189,0.6315321922302246,76.93452380952381
12,0.5275620222091675,80.87697072072072,0.553351104259491,79.857910906298
13,0.5076865553855896,82.14855480480482,0.5239183902740479,82.04925115207374
14,0.4865287244319916,82.91572822822823,0.5178322196006775,82.35407066052227
15,0.47861045598983765,83.1151463963964,0.515588104724884,81.79963517665131
16,0.4532703459262848,84.23423423423424,0.6397746801376343,75.92645929339477
17,0.44501233100891113,84.60726351351352,0.5594096183776855,79.93711597542243
